,movie_imdb_id,movie_name,movie_rating,movie_vote,movie_year
892,201368,The Broken Landlord,8.5,3291,1985
893,184756,Mr. Muhsin,8.5,2485,1987
894,116231,The Bandit,8.1,10947,1996
895,765833,Happy Days,8.4,1219,1978
896,89603,Mishima: A Life in Four Chapters,7.9,2496,1985
897,252488,Hababam sinifi sinifta kaldi,8.4,5273,1976
898,263065,Arabesque,8.0,1758,1989
899,252597,Feyzo_ the Polite One,8.4,3412,1978
900,263975,The Girl with the Red Scarf,8.5,3486,1978
901,106332,Farewell My Concubine,7.9,8256,1993
902,101640,Raise the Red Lantern,8.1,10381,1991
903,110081,To Live,8.0,6230,1994
904,58430,Onibaba,8.0,4257,1964
905,23634,Children of Tokyo,7.9,1316,1932
906,46438,Tokyo Story,8.2,8530,1953
907,49012,The Burmese Harp,8.0,1759,1956
908,57565,High and Low,8.1,7813,1963
909,47445,Legend of Bailiff Sansho,8.2,4105,1954
910,44741,Ikiru,8.2,16529,1952
911,45112,The Life of Oharu,8.1,1461,1952
912,56443,Sanjuro,8.1,8780,1962
913,49710,Bushido,7.8,2190,1956
914,47478,Seven Samurai,8.8,98366,1954
915,50613,Throne of Blood,8.1,12511,1957
916,58279,Kwaidan,8.0,4308,1964
917,80979,Kagemusha,7.9,11555,1980
918,61847,Samurai Rebellion,8.1,2542,1967
919,56058,Harakiri,8.2,5766,1962
920,53121,Fires on the Plain,8.1,1545,1959
921,55630,Yojimbo,8.3,29787,1961
922,46478,Ugetsu,8.1,6245,1953
923,42876,Rashomon,8.4,39750,1950
924,54144,When a Woman Ascends the Stairs,8.2,1017,1960
925,58625,Woman in the Dunes,8.2,4625,1964
926,89881,Ran,8.3,35071,1985
927,61065,The Face of Another,8.0,1483,1966
